date,mean_pressure,max_temp,mean_temp,min_temp,mean_dew,humid,cloud,rain,sunshine,wind_dir,wind_speed
2019/03/01,1016.1,22.4,20.8,19.6,18.8,89,91,0.4,0.4,060,30.6
2019/03/02,1012.7,23.9,21.5,19.9,19.2,87,84,0.0,5.0,070,23.3
2019/03/03,1011.3,23.5,21.5,20.0,19.1,87,85,6.3,4.2,010,8.0
2019/03/04,1013.7,22.6,20.9,19.3,17.7,82,83,10.2,3.2,080,26.1
2019/03/05,1012.1,26.7,22.2,17.7,20.0,88,89,30.3,2.0,070,22.7
2019/03/06,1013.2,22.0,20.5,19.6,19.2,92,91,45.5,0.0,040,24.5
2019/03/07,1015.8,20.5,17.9,15.5,16.7,93,89,29.6,0.0,040,39.5
2019/03/08,1016.0,17.4,16.5,15.1,15.2,92,95,11.5,0.0,060,46.0
2019/03/09,1012.2,18.7,17.8,17.0,17.0,95,95,14.5,0.0,050,25.0
2019/03/10,1013.6,18.5,17.7,17.0,15.6,87,86,4.6,0.0,360,17.3
2019/03/11,1014.9,22.6,18.4,15.5,14.9,81,58,7.6,6.5,360,17.0
2019/03/12,1016.4,24.2,20.1,17.4,15.9,77,15,0.0,10.7,070,21.0
2019/03/13,1017.8,22.9,20.8,19.1,15.3,71,66,0.0,6.1,050,30.2
2019/03/14,1018.3,21.5,20.4,19.8,17.4,83,95,6.4,0.0,060,32.4
2019/03/15,1020.6,20.0,18.7,17.3,15.4,81,89,0.4,0.0,010,25.1
2019/03/16,1020.0,22.8,20.2,18.8,13.2,65,85,0.0,7.1,070,35.0
2019/03/17,1018.9,22.7,20.9,19.7,16.7,77,85,0.0,4.9,070,34.1
2019/03/18,1016.8,24.7,21.7,19.7,18.5,82,70,0.0,5.1,060,20.1
2019/03/19,1014.8,27.4,23.4,20.7,20.5,84,42,0.0,10.0,100,9.0
2019/03/20,1013.0,25.0,23.5,22.1,21.3,88,86,0.0,1.8,090,14.3
2019/03/21,1011.4,27.2,25.3,23.4,21.8,81,79,0.0,4.1,160,7.6
2019/03/22,1012.0,27.5,25.8,24.8,22.9,84,84,0.0,0.9,160,13.8
2019/03/23,1017.1,25.0,20.0,17.4,18.1,89,99,3.3,0.0,060,39.6
2019/03/24,1018.0,18.2,17.5,16.6,15.5,88,100,0.3,0.0,070,44.9
2019/03/25,1016.8,23.3,20.5,17.9,17.8,85,92,1.0,2.0,060,19.1
2019/03/26,1018.5,24.6,21.9,20.8,19.2,85,86,0.0,3.2,070,26.4
2019/03/27,1017.1,25.3,22.3,20.3,19.0,82,77,0.0,4.8,060,22.8
2019/03/28,1012.6,27.8,24.4,22.2,21.4,84,57,0.0,6.6,030,7.4
2019/03/29,1010.5,26.5,24.4,23.1,21.9,86,81,6.9,2.0,230,14.2
2019/03/30,1013.3,24.0,23.1,22.5,20.6,86,81,0.0,0.6,060,20.0
2019/03/31,1016.8,22.9,21.4,20.2,18.7,85,93,7.7,0.1,070,44.3
2019/04/01,1019.3,21.6,20.3,19.7,16.8,81,91,0.0,0.2,070,45.3
2019/04/02,1018.2,23.0,20.7,18.9,16.3,76,89,0.0,3.6,070,35.4
2019/04/03,1016.9,25.7,22.8,20.7,19.0,80,85,0.0,7.0,060,23.3
2019/04/04,1016.7,23.8,21.7,20.4,18.6,83,86,0.0,1.6,070,29.2
2019/04/05,1014.5,27.4,24.0,20.9,19.5,76,37,0.0,9.2,010,13.7
2019/04/06,1013.0,28.1,25.1,22.4,21.0,79,27,0.0,10.3,230,13.1
2019/04/07,1012.5,28.0,25.7,23.7,21.9,80,48,0.0,8.8,230,12.0
2019/04/08,1011.6,29.9,26.7,25.1,23.0,80,80,0.0,6.4,210,13.8
2019/04/09,1011.1,28.9,26.6,25.5,23.1,81,79,0.0,5.0,180,17.1
2019/04/10,1010.9,30.1,27.1,25.3,23.2,80,79,0.0,6.6,220,16.7
2019/04/11,1010.0,29.9,27.3,25.3,23.7,81,84,0.7,3.9,180,15.0
2019/04/12,1013.3,25.2,22.3,21.0,20.3,89,91,6.1,0.0,070,43.0
2019/04/13,1014.3,22.3,21.2,20.3,19.9,92,98,3.8,0.0,070,38.5
2019/04/14,1013.8,24.4,22.7,21.9,20.9,90,92,10.4,0.6,050,25.7
2019/04/15,1014.4,23.1,22.1,20.9,19.4,85,91,1.1,0.3,070,41.7
2019/04/16,1012.6,23.6,21.2,19.5,19.6,91,87,9.2,0.6,070,24.2
2019/04/17,1012.2,26.1,23.5,21.5,20.7,85,77,0.0,3.9,050,9.3
2019/04/18,1010.0,25.0,24.0,23.0,22.1,90,91,6.7,0.0,080,18.2
2019/04/19,1007.7,28.6,23.7,21.3,22.3,93,90,75.8,0.6,040,18.0
2019/04/20,1007.2,26.2,23.3,21.9,22.5,95,93,43.6,0.0,030,14.3
2019/04/21,1008.0,30.1,26.2,23.2,24.0,88,81,0.3,2.6,030,7.4
2019/04/22,1009.3,30.1,27.5,25.6,24.5,84,72,0.0,6.3,190,10.0
2019/04/23,1010.4,31.0,28.0,26.0,24.3,81,58,0.0,8.7,220,13.4
2019/04/24,1009.9,31.2,28.0,26.2,23.7,78,57,0.0,9.6,220,16.9
2019/04/25,1009.3,31.1,28.5,26.4,24.0,77,39,0.0,10.5,230,18.6
2019/04/26,1010.4,31.5,28.4,26.2,24.7,81,58,0.9,7.6,220,13.4
2019/04/27,1012.8,26.4,24.9,22.3,22.4,86,91,16.6,0.0,080,39.5
2019/04/28,1013.2,26.9,24.3,22.7,22.4,89,85,3.1,2.1,070,31.0
2019/04/29,1010.9,29.2,26.4,24.7,23.8,86,71,0.0,5.8,070,12.7
2019/04/30,1008.0,28.8,26.7,25.3,23.3,82,83,7.5,1.3,180,17.3
2019/05/01,1009.1,27.1,25.4,23.8,21.1,78,85,0.2,3.0,020,17.8
2019/05/02,1012.1,24.4,23.0,21.7,19.2,80,89,0.5,0.2,060,36.5
